Parent_Class,ID,label,IRI,comment,*definition,$affects,$hasSymptom,$hasPhase,$leadsTo,$increasesRiskOf,$treatedBy,$isSymptomOf,$isGIComplicationOf
MONDO_0000001,InflammatoryBowelDisease,Inflammatory Bowel Disease,http://bmicc.cn/IBD_py2ontove.owl#InflammatoryBowelDisease,Inflammatory bowel disease (IBD) refers to a group of lifelong diseases affecting the intestines.,,Thing,Diarrhea&Fatigue&Nausea&StomachPain&WeightLoss,DiseasePhase,Complication,MentalHealthChallenge,Thing,,
InflammatoryBowelDisease,UlcerativeColitis,Ulcerative Colitis,http://bmicc.cn/IBD_py2ontove.owl#UlcerativeColitis,A main type of IBD.,,,,,,,,,
InflammatoryBowelDisease,CrohnsDisease,Crohn's Disease,http://bmicc.cn/IBD_py2ontove.owl#CrohnsDisease,A main type of IBD.,,,,,,,,,
Thing,Symptom,Symptom,http://bmicc.cn/IBD_py2ontove.owl#Symptom,IBD symptoms can range from mild to severe.,,,,,,,,,
Symptom,Diarrhea,Diarrhea,http://bmicc.cn/IBD_py2ontove.owl#Diarrhea,Common symptom of IBD.,,,,,,,,InflammatoryBowelDisease,
Symptom,StomachPain,Stomach Pain,http://bmicc.cn/IBD_py2ontove.owl#StomachPain,Common symptom of IBD.,,,,,,,,InflammatoryBowelDisease,
Symptom,Fatigue,Fatigue,http://bmicc.cn/IBD_py2ontove.owl#Fatigue,Common symptom of IBD.,,,,,,,,InflammatoryBowelDisease,
Symptom,Nausea,Nausea,http://bmicc.cn/IBD_py2ontove.owl#Nausea,Common symptom of IBD.,,,,,,,,InflammatoryBowelDisease,
Symptom,WeightLoss,Weight Loss,http://bmicc.cn/IBD_py2ontove.owl#WeightLoss,Common symptom of IBD.,,,,,,,,InflammatoryBowelDisease,
Thing,DiseasePhase,Disease Phase,http://bmicc.cn/IBD_py2ontove.owl#DiseasePhase,Symptoms come and go in waves.,,,,,,,,,
DiseasePhase,Remission,Remission,http://bmicc.cn/IBD_py2ontove.owl#Remission,Periods when symptoms temporarily go away.,,,,,,,,,
DiseasePhase,FlareUp,Flare-up,http://bmicc.cn/IBD_py2ontove.owl#FlareUp,Periods of increased symptoms.,,,,,,,,,
Thing,Complication,Complication,http://bmicc.cn/IBD_py2ontove.owl#Complication,IBD can lead to health complications both inside the GI tract and outside the GI tract.,,,,,,,,,
Complication,GastrointestinalComplication,Gastrointestinal Complication,http://bmicc.cn/IBD_py2ontove.owl#GastrointestinalComplication,Complications inside the GI tract.,,,,,,,,,
GastrointestinalComplication,Dehydration,Dehydration,http://bmicc.cn/IBD_py2ontove.owl#Dehydration,Complication inside the GI tract.,,,,,,,,,InflammatoryBowelDisease
GastrointestinalComplication,Malabsorption,Malabsorption,http://bmicc.cn/IBD_py2ontove.owl#Malabsorption,Not absorbing enough essential nutrients.,,,,,,,,,InflammatoryBowelDisease
GastrointestinalComplication,IncreasedCancerRisk,Increased Cancer Risk,http://bmicc.cn/IBD_py2ontove.owl#IncreasedCancerRisk,Increased risk of colon and rectal cancers.,,,,,,,,,InflammatoryBowelDisease
Complication,ExtraintestinalManifestation,Extraintestinal Manifestation,http://bmicc.cn/IBD_py2ontove.owl#ExtraintestinalManifestation,Complications outside the GI tract.,,,,,,,,,
ExtraintestinalManifestation,Anemia,Anemia,http://bmicc.cn/IBD_py2ontove.owl#Anemia,Low red blood cell count.,,,,,,,,,
ExtraintestinalManifestation,ReducedBoneDensity,Reduced Bone Density,http://bmicc.cn/IBD_py2ontove.owl#ReducedBoneDensity,Complication outside the GI tract.,,,,,,,,,
ExtraintestinalManifestation,JointPain,Joint Pain,http://bmicc.cn/IBD_py2ontove.owl#JointPain,Complication outside the GI tract.,,,,,,,,,
ExtraintestinalManifestation,SkinChanges,Skin Changes,http://bmicc.cn/IBD_py2ontove.owl#SkinChanges,Complication outside the GI tract.,,,,,,,,,
ExtraintestinalManifestation,EyeIrritation,Eye Irritation,http://bmicc.cn/IBD_py2ontove.owl#EyeIrritation,Complication outside the GI tract.,,,,,,,,,
ExtraintestinalManifestation,DelayedGrowth,Delayed Growth,http://bmicc.cn/IBD_py2ontove.owl#DelayedGrowth,Delayed or impaired growth in some children.,,,,,,,,,
Thing,MentalHealthChallenge,Mental Health Challenge,http://bmicc.cn/IBD_py2ontove.owl#MentalHealthChallenge,"IBD can impact a person's quality of life, increasing the risk of mental health challenges.",,,,,,,,,
MentalHealthChallenge,Depression,Depression,http://bmicc.cn/IBD_py2ontove.owl#Depression,Mental health challenge associated with IBD.,,,,,,,,,
MentalHealthChallenge,Anxiety,Anxiety,http://bmicc.cn/IBD_py2ontove.owl#Anxiety,Mental health challenge associated with IBD.,,,,,,,,,
MentalHealthChallenge,Distress,Distress,http://bmicc.cn/IBD_py2ontove.owl#Distress,Feelings of distress or being overwhelmed.,,,,,,,,,
MentalHealthChallenge,OtherMentalDisorder,Other Mental Disorder,http://bmicc.cn/IBD_py2ontove.owl#OtherMentalDisorder,Other mental disorders associated with IBD.,,,,,,,,,
Thing,Medication,Medication,http://bmicc.cn/IBD_py2ontove.owl#Medication,Common medications for IBD.,,,,,,,,,
Medication,Aminosalicylate,Aminosalicylate,http://bmicc.cn/IBD_py2ontove.owl#Aminosalicylate,These help reduce inflammation in the digestive tract. Also called 5-aminosalicylic acids or 5-ASA.,,,,,,,,,
